itr=1 x=0.367918 f(x)=0.324283 err=0.632082 
itr=2 x=0.692201 f(x)=-0.191691 err=0.513039 
itr=3 x=0.500509 f(x)=0.105744 err=0.591123 
itr=4 x=0.606253 f(x)=-0.060828 err=0.551636 
itr=5 x=0.545425 f(x)=0.034204 err=0.575243 
itr=6 x=0.579628 f(x)=-0.019488 err=0.562295 
itr=7 x=0.560140 f(x)=0.011022 err=0.569770 
itr=8 x=0.571162 f(x)=-0.006260 err=0.565575 
itr=9 x=0.564902 f(x)=0.003547 err=0.567967 
itr=10 x=0.568449 f(x)=-0.002013 err=0.566615 
itr=11 x=0.566437 f(x)=0.001141 err=0.567383 
itr=12 x=0.567578 f(x)=-0.000647 err=0.566948 
itr=13 x=0.566930 f(x)=0.000367 err=0.567195 
itr=14 x=0.567297 f(x)=-0.000208 err=0.567055 
itr=15 x=0.567089 f(x)=0.000118 err=0.567135 
itr=16 x=0.567207 f(x)=-0.000067 err=0.567089 
itr=17 x=0.567140 f(x)=0.000038 err=0.567115 
itr=18 x=0.567178 f(x)=-0.000022 err=0.567101 
itr=19 x=0.567157 f(x)=0.000012 err=0.567109 
itr=20 x=0.567169 f(x)=-0.000007 err=0.567104 
itr=21 x=0.567162 f(x)=0.000004 err=0.567107 
